country,servings,freq
Afghanistan,beer_servings,0
Afghanistan,spirit_servings,0
Afghanistan,wine_servings,0
Albania,beer_servings,89
Albania,spirit_servings,132
Albania,wine_servings,54
Algeria,beer_servings,25
Algeria,spirit_servings,0
Algeria,wine_servings,14
Andorra,spirit_servings,138
Andorra,wine_servings,312
Andorra,beer_servings,245
Angola,wine_servings,45
Angola,beer_servings,217
Angola,spirit_servings,57
Antigua & Barbuda,wine_servings,45
Antigua & Barbuda,beer_servings,102
Antigua & Barbuda,spirit_servings,128
Argentina,wine_servings,221
Argentina,spirit_servings,25
Argentina,beer_servings,193
Armenia,spirit_servings,179
Armenia,wine_servings,11
Armenia,beer_servings,21
Australia,spirit_servings,72
Australia,wine_servings,212
Australia,beer_servings,261
Austria,wine_servings,191
Austria,beer_servings,279
Austria,spirit_servings,75
Azerbaijan,beer_servings,21
Azerbaijan,spirit_servings,46
Azerbaijan,wine_servings,5
Bahamas,beer_servings,122
Bahamas,spirit_servings,176
Bahamas,wine_servings,51
Bahrain,spirit_servings,63
Bahrain,wine_servings,7
Bahrain,beer_servings,42
Bangladesh,wine_servings,0
Bangladesh,beer_servings,0
Bangladesh,spirit_servings,0
Barbados,wine_servings,36
Barbados,beer_servings,143
Barbados,spirit_servings,173
Belarus,beer_servings,142
Belarus,spirit_servings,373
Belarus,wine_servings,42
Belgium,spirit_servings,84
Belgium,wine_servings,212
Belgium,beer_servings,295
Belize,spirit_servings,114
Belize,wine_servings,8
Belize,beer_servings,263
Benin,spirit_servings,4
Benin,beer_servings,34
Benin,wine_servings,13
Bhutan,beer_servings,23
Bhutan,spirit_servings,0
Bhutan,wine_servings,0
Bolivia,beer_servings,167
Bolivia,spirit_servings,41
Bolivia,wine_servings,8
Bosnia-Herzegovina,spirit_servings,173
Bosnia-Herzegovina,wine_servings,8
Bosnia-Herzegovina,beer_servings,76
Botswana,wine_servings,35
Botswana,beer_servings,173
Botswana,spirit_servings,35
Brazil,wine_servings,16
Brazil,beer_servings,245
Brazil,spirit_servings,145
Brunei,wine_servings,1
Brunei,spirit_servings,2
Brunei,beer_servings,31
Bulgaria,spirit_servings,252
Bulgaria,wine_servings,94
Bulgaria,beer_servings,231
Burkina Faso,spirit_servings,7
Burkina Faso,wine_servings,7
Burkina Faso,beer_servings,25
Burundi,wine_servings,0
Burundi,beer_servings,88
Burundi,spirit_servings,0
Cabo Verde,beer_servings,144
Cabo Verde,spirit_servings,56
Cabo Verde,wine_servings,16
Cambodia,beer_servings,57
Cambodia,spirit_servings,65
Cambodia,wine_servings,1
Cameroon,beer_servings,147
Cameroon,wine_servings,4
Cameroon,spirit_servings,1
Canada,wine_servings,100
Canada,spirit_servings,122
Canada,beer_servings,240
Central African Republic,wine_servings,1
Central African Republic,spirit_servings,2
Central African Republic,beer_servings,17
Chad,wine_servings,1
Chad,spirit_servings,1
Chad,beer_servings,15
Chile,wine_servings,172
Chile,spirit_servings,124
Chile,beer_servings,130
China,wine_servings,8
China,beer_servings,79
China,spirit_servings,192
Colombia,wine_servings,3
Colombia,beer_servings,159
Colombia,spirit_servings,76
Comoros,spirit_servings,3
Comoros,wine_servings,1
Comoros,beer_servings,1
Congo,spirit_servings,1
Congo,wine_servings,9
Congo,beer_servings,76
Cook Islands,wine_servings,74
Cook Islands,beer_servings,0
Cook Islands,spirit_servings,254
Costa Rica,spirit_servings,87
Costa Rica,beer_servings,149
Costa Rica,wine_servings,11
Cote d'Ivoire,spirit_servings,1
Cote d'Ivoire,wine_servings,7
Cote d'Ivoire,beer_servings,37
Croatia,spirit_servings,87
Croatia,wine_servings,254
Croatia,beer_servings,230
Cuba,wine_servings,5
Cuba,beer_servings,93
Cuba,spirit_servings,137
Cyprus,spirit_servings,154
Cyprus,wine_servings,113
Cyprus,beer_servings,192
Czech Republic,wine_servings,134
